user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,post_md_like_mean,post_md_like_std,post_md_retweet_mean,post_md_retweet_std,post_md_reply_mean,post_md_reply_std,post_md_quote_mean,post_md_quote_std,post_text_length_mean,post_text_length_std,post_sentiment_score_mean,post_sentiment_score_std,post_sentiment_numeric_mean,post_sentiment_numeric_std,post_sentiment_numeric_prop_positive,post_sentiment_numeric_prop_neutral,post_sentiment_numeric_prop_negative,label
,,,,,,,,,,,,,,,,,,,,5.099866427824199,8.817001443665859,0.578412792649359,,,,False,,,,,,,,,,,,,,,,,,True
77046494,ErnstRoets,2.0,8.0,0.0,0.0,10.0,2.921928094887362,Ernst Roets,2.0,8.0,0.0,1.0,11.0,3.095795255000934,0.0,0.0,2.0,"afriforum head of policy and action, forum films ceo, chairperson of opinor. producer: #disruptedland, #taintedheroes, author: #killtheboerbook",143.0,11.090125980925743,5.648974238161206,1.9632105783041565,9.792276623200125,7.126087273299125,True,False,,,,,,,,,113.42,64.4624200600629,0.7798711907863617,0.10721528897251469,-0.18,0.4331281565541544,0.02,0.78,0.2,False
790927887411077120,deb2nine,0.0,7.0,1.0,0.0,8.0,2.5,WWII daughter,4.0,8.0,0.0,1.0,13.0,3.3927474104487847,0.0,0.0,2.0,generation's of my family have served & some still voted for trump in 2016 and will gladly be doing it again. married to my best friend for over 3 decades #maga,160.0,8.09559870137819,7.259116128097101,1.1152320142728402,11.218983842347303,11.097000846398958,False,False,,,,,,,,,114.64,40.517038391274355,0.7523785734176636,0.13765554311180436,-0.28,0.6939740629158989,0.14,0.44,0.42,True
,,,,,,,,,,,,,,,,,,,,6.419994928147142,6.320768294250582,1.0156985083580452,,,,True,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,2.5649493574615367,7.228388451573604,0.3548438735197128,,,,False,,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,6.775366090936392,6.93537044601511,0.9769292273103231,,,,False,,,,,,,,,,,,,,,,,,False
405022806,Dorsetghost,1.0,10.0,0.0,0.0,11.0,2.9139770731827523,★ DorsetGHOST ★,6.0,5.0,0.0,4.0,15.0,3.640223928941851,0.0,0.0,3.0,"we are two ghost hunters, we also love narrating stories & unsolved mysteries.",78.0,13.011346896890345,12.568905093073477,1.0352013003949476,5.955837369464831,8.707317560273212,False,False,,,,,,,,,138.78,73.9665573080159,0.8104284799098969,0.1528034558915054,0.16,0.9243376006633074,0.52,0.12,0.36,True
,,,,,,,,,,,,,,,,,,,,3.332204510175204,5.872117789475416,0.5674621371096313,,,,True,,,,,,,,,,,,,,,,,,True
632B9B87-E3AF-4A08-A030-A40705942F64,,,,,,,,,,,,,,,,,,,,,,,0.0,3.044522437723423,False,False,,,,,,,,,,,,,,,,,,True
33C648BF-740F-458A-A092-87E906EBD0AD,,,,,,,,,,,,,,,,,,,,,,,0.0,3.044522437723423,False,False,,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,0.0,3.58351893845611,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True
751545093467860994,BTL_Legends,4.0,6.0,0.0,1.0,11.0,3.095795255000934,Between The Lanes,3.0,12.0,0.0,2.0,17.0,3.1692486956952335,0.0,0.0,3.0,your number one resource for strategy articles and guides for @teslegends,73.0,6.324358962381311,3.4339872044851463,1.841695552656992,5.855071922202427,0.0,False,False,,,,,,,,,143.72,41.6312574876138,0.7537188047170639,0.12765057154382478,0.28,0.448998886412873,0.28,0.72,0.0,True
,,,,,,,,,,,,,,,,,,,,3.4657359027997265,5.365976015021851,0.6458724178225037,0.0,,,True,,,,,,,,,,,,,,,,,,True
1048631647,sidranasir1,0.0,10.0,1.0,0.0,11.0,2.7321588913645702,sidra nasir,0.0,10.0,0.0,1.0,11.0,2.7321588913645702,0.0,0.0,2.0,a proud muslim l cricket freak l piscerian l doctor,51.0,5.2832037287379885,4.382026634673881,1.2056530389234328,,9.680031452383618,,,,,,,,,,,,,,,,,,,,False
