user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,post_md_like_mean,post_md_like_std,post_md_retweet_mean,post_md_retweet_std,post_md_reply_mean,post_md_reply_std,post_md_quote_mean,post_md_quote_std,post_text_length_mean,post_text_length_std,post_sentiment_score_mean,post_sentiment_score_std,post_sentiment_numeric_mean,post_sentiment_numeric_std,post_sentiment_numeric_prop_positive,post_sentiment_numeric_prop_neutral,post_sentiment_numeric_prop_negative,label
,,,,,,,,,,,,,,,,,,,,163.0,6747.0,0.02415888543056173,,,,False,,,,,,,,,,,,,,,,,,True
77046494,ErnstRoets,2.0,8.0,0.0,0.0,10.0,2.921928094887362,Ernst Roets,2.0,8.0,0.0,1.0,11.0,3.095795255000934,0.0,0.0,2.0,"afriforum head of policy and action, forum films ceo, chairperson of opinor. producer: #disruptedland, #taintedheroes, author: #killtheboerbook",143.0,65520.0,283.0,231.51943462897526,17894.0,1243.0,True,False,,,,,,,,,113.42,64.4624200600629,0.7798711907863617,0.10721528897251469,-0.18,0.4331281565541544,0.02,0.78,0.2,False
790927887411077120,deb2nine,0.0,7.0,1.0,0.0,8.0,2.5,WWII daughter,4.0,8.0,0.0,1.0,13.0,3.3927474104487847,0.0,0.0,2.0,generation's of my family have served & some still voted for trump in 2016 and will gladly be doing it again. married to my best friend for over 3 decades #maga,160.0,3279.0,1420.0,2.3091549295774647,74531.0,65972.0,False,False,,,,,,,,,114.64,40.517038391274355,0.7523785734176636,0.13765554311180436,-0.28,0.6939740629158989,0.14,0.44,0.42,True
,,,,,,,,,,,,,,,,,,,,613.0,555.0,1.1045045045045045,,,,True,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,12.0,1377.0,0.008714596949891068,,,,False,,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,875.0,1027.0,0.8519961051606622,,,,False,,,,,,,,,,,,,,,,,,False
405022806,Dorsetghost,1.0,10.0,0.0,0.0,11.0,2.9139770731827523,★ DorsetGHOST ★,6.0,5.0,0.0,4.0,15.0,3.640223928941851,0.0,0.0,3.0,"we are two ghost hunters, we also love narrating stories & unsolved mysteries.",78.0,447461.0,287478.0,1.5565051934408893,385.0,6046.0,False,False,,,,,,,,,138.78,73.9665573080159,0.8104284799098969,0.1528034558915054,0.16,0.9243376006633074,0.52,0.12,0.36,True
,,,,,,,,,,,,,,,,,,,,27.0,354.0,0.07627118644067797,,,,True,,,,,,,,,,,,,,,,,,True
632B9B87-E3AF-4A08-A030-A40705942F64,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,False,False,,,,,,,,,,,,,,,,,,True
33C648BF-740F-458A-A092-87E906EBD0AD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,False,False,,,,,,,,,,,,,,,,,,True
