user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,description_business,description_che,description_com,description_follow,description_http,description_https,description_instagram,description_la,description_life,description_love,description_lover,description_music,description_new,description_news,description_non,description_official,description_tweets,description_twitter,description_world,description_writer,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
19335843,qubyte,0.0,6.0,0.0,0.0,6.0,2.584962500721156,Mark Everitt,2.0,9.0,0.0,1.0,12.0,3.2516291673878226,0.0,0.0,2.0,server side + game software developer and one time quantum information scientist.,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37989735354046,5.4680601411351315,0.9838767706793419,,5.71042701737487,,,False
14626600,adelamaide,0.0,10.0,0.0,0.0,10.0,2.4464393446710155,Amy Delamaide,2.0,10.0,0.0,1.0,13.0,3.238901256602631,0.0,0.0,2.0,helping out at the intersection of policy and practice. making meetings and conference calls more useful. trying not to take myself too seriously.,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.118826249062078,6.278521424165844,1.1338380118704263,,8.182279739259018,,,False
472301455,KeatonPatti,2.0,9.0,0.0,0.0,11.0,2.8453509366224368,Keaton Patti,2.0,9.0,0.0,1.0,12.0,3.0220552088742,0.0,0.0,2.0,future constellation.,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.416732282512326,5.723585101952381,1.1211036733468862,,6.395261598115449,,,False
1117124389,nickclement_,0.0,11.0,0.0,1.0,12.0,3.084962500721156,Nick Clement,2.0,9.0,0.0,1.0,12.0,3.4182958340544896,0.0,0.0,2.0,"instead of searching for a hundred reasons to quit, look at the thousand reasons not to.",88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983606621708336,5.187385805840755,0.960716400946509,,6.519147287940395,,,False
17801629,BoloBoffin,2.0,8.0,0.0,0.0,10.0,2.446439344671015,Joseph Nobles,2.0,10.0,0.0,1.0,13.0,3.238901256602631,0.0,0.0,2.0,mendacity pointed out while-u-wait. liberated by science! gay. atheist. liberal. screenwriter. rt usually = wtf or oop. http://t.co/gywtfirvqb,142.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9167150203536085,7.471363088187097,0.9257634702949402,,6.8001700683022,,,False
25578056,rachelfberry,0.0,12.0,0.0,0.0,12.0,3.0220552088742,Rachel Berry,2.0,9.0,0.0,1.0,12.0,3.2516291673878226,0.0,0.0,2.0,former londoner embarking on a kiwi adventure!,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2832037287379885,5.91350300563827,0.8934135526270439,,6.595780513961311,,,False
576967621,GulasMehmet,2.0,9.0,0.0,0.0,11.0,3.277613436819116,Mehmet Emin Gülas,3.0,12.0,0.0,2.0,17.0,3.734521664779752,0.0,0.0,3.0,i̇stanbul aydın üniversitesi i̇nşaat mühendisliği #hemşi̇nli̇#f&f instagram:mehmetgulas,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.247024072160486,4.867534450455582,1.077963417735931,,7.9294865233142895,,,False
2688868016,saquus,0.0,6.0,0.0,0.0,6.0,1.9182958340544896,Phillip Dawson,2.0,11.0,0.0,1.0,14.0,3.521640636343319,0.0,0.0,2.0,56 yr old guy who accidentally ended up with a  twitter account; and i'm loving it. most images shared here are taken by others.,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0943445622221,4.897839799950911,0.8359490570236977,,4.795790545596741,,,False
134172658,franwords,0.0,9.0,0.0,0.0,9.0,2.94770277922009,F.T.S-H-D-M,6.0,0.0,0.0,5.0,11.0,2.845350936622437,0.0,0.0,1.0,poet. illustrator. artist.pianist. soundcloud/franwords,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.556778356158042,7.404887575616125,0.8854662936070956,,3.332204510175204,,,False
588325943,Squarology,1.0,9.0,0.0,0.0,10.0,3.121928094887362,Squarology,1.0,9.0,0.0,0.0,10.0,3.121928094887362,0.0,0.0,1.0,luckiest guy in the world :),28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.066108090103747,0.6931471805599453,8.751544059089097,,4.174387269895637,,,False
