user_id,username,post_md_like,post_md_retweet,post_md_reply,post_md_quote,post_text,sentiment_results,post_sentiment_score,post_sentiment_numeric,post_text_length
BB4059A4-A751-4001-A29C-CCB25EB4C966,,1.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
CB0F55F7-A438-4936-B175-C0890A31DD82,,0.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
D0E157B9-F90E-44DC-B189-792598BCAF83,,5.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
CC93AC1E-C388-4FCC-8742-0046662A0B01,,2.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
0EA6F884-A2D2-4C79-BC70-38E1182AE2D8,,5.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
7A769290-2109-4C3D-9C6C-3C59AF123CDB,,1.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
FB424FBA-F302-488B-9F3B-AAD20881005A,,2.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
36F795C3-B1E4-40D8-8EC1-9CDB85688B8D,,0.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
3433E48A-C979-4D68-9C69-275B8792A251,,8.0,,5.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
42BD97CE-8189-4028-ACF2-8629AEB04E16,,1.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
FE7EAD0F-F1F9-41A6-A287-202E98865F7B,,0.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
3849C6D1-ABE0-4B05-B31E-88BAE5B91169,,2.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
53010493-16F0-4CD3-94F7-5DBA728DA2B6,,3.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
01A3B15F-989E-48C3-BA4E-8D11BD425F73,,1.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
65177886-C94C-4623-8F7D-480E3CC284A8,,8.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
9A00194A-5895-48ED-BF29-1147296D9F24,,2.0,,0.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
13D222B5-5DAD-49B9-ACAC-A199C2948987,,3.0,,1.0,,,"[{'label': 'positive', 'score': 0.4012986123561859}]",0.4012986123561859,1.0,0.0
