user_id,username,post_md_like,post_md_retweet,post_md_reply,post_md_quote,post_text,post_text_length
1280688197068972033,Jasmine82765052 ,,,,,"You guys the liberals have hacked into trumps app and have a data software that hacks into our phones and spy’s on us we need to leave 1 star reviews on the app because we can’t let the liberals win #MakeAmericaGreatAgain #DonaldTrumpJr #TrumpSupporter
",253
1280688197068972033,Jasmine82765052 ,,,,,"I absolutely love Donald trump 👍😃
",34
1280688197068972033,Jasmine82765052 ,,,,,"Donald trump is like my father 👍😃
",34
1280688197068972033,Jasmine82765052 ,,,,,"@realDonaldTrump he is my favourite president that has ever existed I don’t know why people hate in him 🥵😃
",107
177673457,RaoKavitha ,,,,,"An LOC of Rs 2 lakh has been sanctioned to ensure nothing comes in between the treatment of Ms Pushpa who hails from Balkonda, Nizamabad. I wish for her speedy recovery. God bless https://t.co/exZzrnoJpq https://t.co/kk3oFtrrjP
",228
177673457,RaoKavitha ,,,,,"RT @madihafatima27: 🚨Emergency O-ve blood requirement🚨🚨
Patient name :- Venkat chary
Problam :- HGB, RBC &amp; WBC platelets gone under 12000…
",143
177673457,RaoKavitha ,,,,,"RT @trspartyonline: వినాయక చవితి పండుగ సందర్భంగా ప్రగతి భవన్ లో నిర్వహించిన పూజా కార్యక్రమంలో పాల్గొన్న ముఖ్యమంత్రి శ్రీ కేసీఆర్ దంపతులు.
#…
",141
177673457,RaoKavitha ,,,,,"#HappyGaneshChaturthi https://t.co/WsqNArB39J
",46
177673457,RaoKavitha ,,,,,"Always a special feeling to celebrate the festival with family. Aaditya and Aarya were eagerly waiting to bring their little Ganesha home, just like every year
#GaneshaChaturthi https://t.co/sykrSbPSBn
",202
177673457,RaoKavitha ,,,,,"May Lord Ganesha bless you and your family with his divinity. I wish Lord Ganesha gives us all the strength and shows us the path towards peace prosperity and harmony
Happy #VinayakaChaturthi . 🙏🏻 https://t.co/OKTrrSRcYP
",221
177673457,RaoKavitha ,,,,,"👏👏 https://t.co/4CGsUHfwu8
",27
177673457,RaoKavitha ,,,,,"RT @madihafatima27: SOS : Urgent requirement of plasma from a donor who recovered from covid for my aunty
Patient Blood group: B positive
R…
",141
177673457,RaoKavitha ,,,,,"RT @madihafatima27: # *Hyderabad*
*Required Date*: 21/08/2020
Patient name: Ajay Babu
Age: 74 years
*Need blood group*: B +ve
Required: 2…
",139
177673457,RaoKavitha ,,,,,"RT @madihafatima27: # *Hyderabad*
*Required Date*: 21/08/2020
Patient name: Gangadhar
Age: 46 years
*Need blood group*: A +ve
Required: 1…
",139
177673457,RaoKavitha ,,,,,"RT @madihafatima27: # Hyderabad
*Required Date*: 21/08/2020
Patient name: mounika
Age: 28years
*Need blood group*: A+ve
Required: platelets…
",141
177673457,RaoKavitha ,,,,,"Tragic news of fire at Srisailam Hydroelectric Plant. I extend my heartfelt condolences to the families that lost their beloved members. Wishing for the speedy recovery of those injured and praying for swift and safe rescue of those who are still inside the plant.
",265
177673457,RaoKavitha ,,,,,"The gesture by Dr. Monika is beyond admiration and pride, it’s nothing less than a golden lesson of life.
#ThankYouWarriors https://t.co/ICfxD6WzCD
",148
177673457,RaoKavitha ,,,,,"It is so heartwarming to see the efforts taken by “Helping Hands Organisation” in Jagtial. The enthusiasm to succour corona effected families by providing daily essentials and delivering food at doorstep, by these vibrant students is commendable.
#ThankYouWarriors https://t.co/ZYc2mmKpXm
",289
177673457,RaoKavitha ,,,,,"RT @madihafatima27: Urgently Required
Blood Group - B Negative
Falling short of 2 units.

Patient Name : Ratan Singh
Age-44
Hospital-Yasoda…
",141
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: ముఖ్యమంత్రి శ్రీ కె. చంద్రశేఖర్ రావు ఆదేశాల మేరకు మంత్రులు శ్రీ కెటి రామారావు, శ్రీ ఈటల రాజెందర్, శ్రీ ఎర్రబెల్లి దయాకర్…
",140
177673457,RaoKavitha ,,,,,"Happy Birthday Charitha 🤗🤗 God bless you !! https://t.co/DypBXG7sa3
",68
177673457,RaoKavitha ,,,,,"Happy to assist our brothers from Nizamabad who returned back from Gulf and were quarantined in Vijaywada upon their return. https://t.co/NdabrsppY7
",149
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: సెప్టెంబర్ 7 నుంచి అసెంబ్లీ సమావేశాలు నిర్వహించాలని సీఎం శ్రీ కేసీఆర్ నిర్ణయించారు. రాష్ట్రానికి సంబంధించిన అనేక ముఖ్యమైన…
",141
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: CM Sri K. Chandrashekar Rao congratulated the @TSMAUDOnline for not putting people to any inconvenience despite the heavy…
",141
177673457,RaoKavitha ,,,,,"Dear, Durga don’t worry, please DM me your contact details. Will reach out !! https://t.co/exZzrnoJpq
",102
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: In the wake of heavy rains in the State, CM Sri K. Chandrashekar Rao is reviewing the situation from time to time, obtain…
",141
177673457,RaoKavitha ,,,,,"RT @madihafatima27: *Emergency*

Patient name: Ayyawar Prashanth
Age:25
Blood group: O positive PLATLATES
Condition: serious
Hospital: kim…
",140
177673457,RaoKavitha ,,,,,"Happy birthday Aswitha https://t.co/3bNnsuRyeB
",47
177673457,RaoKavitha ,,,,,"RT @trspartyonline: రాష్ట్ర వ్యాప్తంగా భారీ వర్షాలు కురుస్తున్న నేపథ్యంలో ముఖ్యమంత్రి శ్రీ కేసీఆర్ పరిస్థితిని ఎప్పటికప్పుడు సమీక్షిస్తు…
",138
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: రాష్ట్ర వ్యాప్తంగా భారీ వర్షాలు కురుస్తున్న నేపథ్యంలో సీఎం శ్రీ కేసీఆర్ పరిస్థితిని ఎప్పటికప్పుడు సమీక్షిస్తునారు. జిల్లా…
",141
177673457,RaoKavitha ,,,,,"RT @MC_Nizamabad: Citizens of Nizamabad, heavy rains are expected for few days.

In case of emergency, risk of collapse of building, fallin…
",141
177673457,RaoKavitha ,,,,,"#ThankYouMSDhoni for the memories. Will still miss watching you behind the stumps in that blue jersey.
#MSDhoni https://t.co/m9ryJq88MK
",136
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: తెలంగాణ జాతి గర్వించదగ్గ సాహితీవేత్త శ్రీ తిరునగరి రామానుజం అని సీఎం శ్రీ కేసీఆర్ అభినందించారు. మహాకవి దాశరథి పురస్కారం -…
",141
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: CM Sri K. Chandrashekar Rao has hoisted the national flag at Pragathi Bhavan on the occasion of 74th #IndependenceDay. MP…
",141
177673457,RaoKavitha ,,,,,"RT @TelanganaCMO: 74వ #స్వాతంత్ర్యదినోత్సవం సందర్భంగా సికింద్రాబాద్ పరేడ్ గ్రౌండ్స్‌లోని ఆర్మీ వార్ మెమోరియల్‌ వద్ద సీఎం శ్రీ కేసీఆర్ పుష్ప…
",141
177673457,RaoKavitha ,,,,,"The choice that our frontline workers have made in line of duty, despite being exposed to the danger themselves, shall be my driving force forever. I'm deeply indebted to them &amp; all the unsung heroes for their tireless resolve &amp; love for the country.
#HappyIndependenceDay https://t.co/27x8TkYWRa
",305
177673457,RaoKavitha ,,,,,"My heartiest congratulations to Sankirth Garu for securing 330th rank in 2019 Civil Services Exams. I felicitated him upon his remarkable success and wished him all the very best https://t.co/rw0L360x3w
",203
177673457,RaoKavitha ,,,,,"In conversation with Lavanya, a member of SHG. In Telangana, SHGs have done all the paddy procurement, which gave great relief to farmers during the pandemic. SHG movement received a great boost under the visionary leadership of Hon'ble KCR garu. https://t.co/5pNpU6YqIa
",271
177673457,RaoKavitha ,,,,,"RT @TJagruthi: నాగర్ కర్నూల్ జిల్లా: తెలంగాణ జాగృతి విద్యార్థి విభాగం దారమోని గణేష్ ఆధ్వర్యంలో కల్వకుర్తి  పట్టణంలోని కళ్యాణ్ నగర్, సుభాష్…
",140
177673457,RaoKavitha ,,,,,"In conversation with Sub Inspector Mr. Jeevan, who is not only a corona warrior but also a coronavirus survivor.
Over 5000 frontline workers are infected by COVID. The unshakable grit and determination of the Police force to defeat the virus is inspirational.
#ThankYouWarriors https://t.co/gkhJ0rEPQ5
",302
