user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
19335843,qubyte,0,6,0,0,6,2.584962500721156,Mark Everitt,2,9,0,1,12,3.2516291673878226,0,0,2,Server side + game software developer and one time Quantum Information Scientist.,81,216,236,0.9152542372881356,,301,,,False
14626600,adelamaide,0,10,0,0,10,2.4464393446710155,Amy Delamaide,2,10,0,1,13,3.238901256602631,0,0,2,Helping out at the intersection of policy and practice. Making meetings and conference calls more useful. Trying not to take myself too seriously.,146,1234,532,2.319548872180451,,3576,,,False
472301455,KeatonPatti,2,9,0,0,11,2.8453509366224368,Keaton Patti,2,9,0,1,12,3.0220552088742005,0,0,2,Future constellation.,21,611,305,2.00327868852459,,598,,,False
1117124389,nickclement_,0,11,0,1,12,3.084962500721156,Nick Clement,2,9,0,1,12,3.4182958340544896,0,0,2,"instead of searching for a hundred reasons to quit, look at the thousand reasons not to.",88,145,178,0.8146067415730337,,677,,,False
17801629,BoloBoffin,2,8,0,0,10,2.4464393446710155,Joseph Nobles,2,10,0,1,13,3.238901256602631,0,0,2,Mendacity pointed out while-u-wait. Liberated by science! Gay. Atheist. Liberal. Screenwriter. RT usually = WTF or Oop. http://t.co/gYwtFIrVqB,142,1008,1756,0.5740318906605922,,897,,,False
25578056,rachelfberry,0,12,0,0,12,3.0220552088742005,Rachel Berry,2,9,0,1,12,3.2516291673878226,0,0,2,Former Londoner embarking on a kiwi adventure!,46,196,369,0.5311653116531165,,731,,,False
576967621,GulasMehmet,2,9,0,0,11,3.2776134368191157,Mehmet Emin Gülas,3,12,0,2,17,3.7345216647797512,0,0,3,İstanbul Aydın Üniversitesi İnşaat Mühendisliği #HEMŞİNLİ#F&F instagram:mehmetgulas,83,189,129,1.4651162790697674,,2777,,,False
2688868016,saquus,0,6,0,0,6,1.9182958340544896,Phillip Dawson,2,11,0,1,14,3.521640636343318,0,0,2,56 yr old guy who accidentally ended up with a  twitter account; and I'm loving it. Most images shared here are taken by others.,128,59,133,0.44360902255639095,,120,,,False
134172658,franwords,0,9,0,0,9,2.94770277922009,F.T.S-H-D-M,6,0,0,5,11,2.8453509366224368,0,0,1,Poet. Illustrator. Artist.Pianist. soundcloud/franwords,55,703,1643,0.42787583688374925,,27,,,False
588325943,Squarology,1,9,0,0,10,3.1219280948873624,Squarology,1,9,0,0,10,3.1219280948873624,0,0,1,Luckiest guy in the world :),28,430,1,430.0,,64,,,False
88640630,viciousversace,0,14,0,0,14,3.0930692077718898,$,0,0,0,1,1,-0.0,0,0,1,flawless mess,13,2340,302,7.748344370860927,,2220,,,False
753452635,ryandsparks,0,11,0,0,11,2.913977073182752,Ryan Sparks,2,8,0,1,11,3.2776134368191157,0,0,2,"Somewhere between a crisis & a pretty good time // Eat, drink, write, overthink.",80,481,324,1.4845679012345678,,2145,,,False
2928010448,sugainmytae,0,11,0,0,11,3.2776134368191157,lina,0,4,0,0,4,2.0,0,0,1,Yoongied af ☆ 방탄소년단 ☆ Taehyung's dumb ☆ Petition for #TRBinNZ JOHN KEY ARE YOU LISTENING,88,121,110,1.1,,1185,,,False
