user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
112805276,FrancoLostaunau ,2,13,0,1,16,3.327819531114783,Franco Lostaunau ,2,13,0,2,17,3.337175341123077,0,0,2,Periodista deportivo en ESPN. Director Técnico de fútbol. Instagram: francolostaunau ,85,30084,819,0.0272237734343837,11267,2590,False,False,False
1050006840,joel_archie ,0,10,0,2,12,3.418295834054489,Joel Rabinowitz ,2,12,0,2,16,3.625,0,0,2,Football writer @liverpoolcom_ ,31,42426,1006,0.0237118747937585,30790,24562,True,False,False
1140451,Anthony ,1,6,0,1,8,2.75,Anthony DeRosa 🗽 ,3,10,0,4,17,3.572469458770136,1,0,3,"Strategy Editor at @WSJ - U.S. News, Investigations, Sports and Special Projects https://t.co/d3Znnkmhht / https://t.co/B7Ie03fOE8 ",131,103338,7111,0.068813021347423,54391,50615,True,False,False
219617448,SushmaSwaraj ,2,10,0,1,13,3.180832987205441,Sushma Swaraj ,2,10,0,2,14,3.182005814760214,0,0,2,This a/c is a monument in her memory. ,38,13044823,0,0.0,6374,11,True,False,False
1296330070177599488,ben76821215 ,0,3,8,1,12,3.251629167387823,ben ,0,3,0,1,4,2.0,0,0,1,Always a claret ,16,1,49,49.0,12,3,False,False,False
2439177534,BrentNYT ,4,4,0,1,9,3.169925001442312,Brent Staples ,2,10,0,2,14,3.3787834934861767,0,0,2,Winner of the 2019 Pulitzer Prize for editorial writing. Delta husband. Let’s take it nice and smooth - I’m in a Philly mood. ,126,46219,1151,0.0249031783465674,17749,16682,True,False,False
5044911,dimatosj ,0,8,0,1,9,3.169925001442312,John Dimatos ,2,9,0,2,13,3.3927474104487847,0,0,2,Eats lunch with @kthread. Forever seeking truth & beauty in the Caves of Chaos. ,80,2901,2758,0.9507066528783178,18908,13678,False,False,False
81915976,_drei ,0,4,0,2,6,2.584962500721156,Drei ,1,3,0,1,5,2.321928094887362,0,0,1,"Data analytics professional, university lecturer & photographer into films, music, gadgets, tennis & food. Lived in 10 cities & traveled to 41 countries. He/him ",161,1600,3763,2.351875,19982,22207,False,False,False
39492456,FarmPodcaster ,2,11,0,1,14,3.521640636343319,Cindy Zimmerman ,2,12,0,2,16,3.327819531114783,0,0,2,Cindy Zimmerman is the farm podcaster for ZimmComm New Media.  She's also Vice President and co-founder. ,105,6620,2726,0.4117824773413897,4959,553,False,False,False
275387038,TeniEntertainer ,2,13,0,1,16,3.0306390622295662,OBA ORIN ,7,0,0,2,9,2.725480556997868,0,0,2,"KING!!! Entertainer, Music Artist, Young Entrepreneur, a Nini lover. #MusicGuru. God comes first. A bolaji lover ",113,708462,796,0.0011235606144013,47469,9878,False,False,False
