user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,post_md_like_mean,post_md_like_std,post_md_retweet_mean,post_md_retweet_std,post_md_reply_mean,post_md_reply_std,post_md_quote_mean,post_md_quote_std,post_text_length_mean,post_text_length_std,post_sentiment_score_mean,post_sentiment_score_std,post_sentiment_numeric_mean,post_sentiment_numeric_std,post_sentiment_numeric_prop_positive,post_sentiment_numeric_prop_negative,label
,,,,,,,,,,,,,,,,,,,,163.0,6747.0,0.0241588854305617,,,,0.0,,,,,,,,,,,,,,,,,True
B09DEDAA-83C5-4E06-879A-B130DADD6E8C,,,,,,,,,,,,,,,,,,,,,,0.3853658536585366,20.0,0.0,0.0,0.0,2.7,2.12367605815953,0.05,0.2179449471770336,0.05,0.2179449471770336,,,7.75,11.96191874240918,,,,,,,False
BF5F2AA4-EA30-41CB-8F48-FB28EAABA1F0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,613.0,555.0,1.1045045045045043,,,,1.0,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,12.0,1377.0,0.008714596949891,,,,0.0,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,875.0,1027.0,0.8519961051606622,,,,0.0,,,,,,,,,,,,,,,,,False
74167989-1509-46A1-8F37-97474F6A7366,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,,,,27.0,354.0,0.0762711864406779,,,,1.0,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,1.0,,,59.0,38.0,1.5526315789473684,6.0,,,0.0,,,,,,,,,,,,,,,,,True
,,,,,,,,,,,,,,,,,0.0,,,2.0,55.0,0.0363636363636363,2.0,,,1.0,,,,,,,,,,,,,,,,,True
